common_name,botanical_name,family,usda_zone_min,usda_zone_max,water_use,sun_exposure,mature_height_ft,mature_spread_ft,native_to_california,drought_tolerant,deer_resistant,fire_resistant,symbol_file
Lavender,Lavandula spp.,Lamiaceae,5,9,L,FS,3,4,FALSE,TRUE,TRUE,TRUE,shrub_lavender.dxf
Rosemary,Salvia rosmarinus,Lamiaceae,7,11,L,FS,5,5,FALSE,TRUE,TRUE,TRUE,shrub_rosemary.dxf
Mexican Sage,Salvia leucantha,Lamiaceae,8,11,L,FS,4,5,FALSE,TRUE,TRUE,FALSE,shrub_salvia_leucantha.dxf
Autumn Sage,Salvia greggii,Lamiaceae,6,11,L,FS,3,3,FALSE,TRUE,TRUE,FALSE,shrub_salvia_greggii.dxf
Texas Sage,Leucophyllum frutescens,Scrophulariaceae,7,11,VL,FS,6,6,FALSE,TRUE,TRUE,TRUE,shrub_texas_sage.dxf
Pride of Madeira,Echium candicans,Boraginaceae,9,11,L,FS,6,8,FALSE,TRUE,FALSE,FALSE,shrub_echium.dxf
Rockrose,Cistus spp.,Cistaceae,8,11,L,FS,4,5,FALSE,TRUE,FALSE,TRUE,shrub_rockrose.dxf
Bougainvillea,Bougainvillea spp.,Nyctaginaceae,9,11,VL,FS,20,20,FALSE,TRUE,FALSE,FALSE,shrub_bougainvillea.dxf
Lantana,Lantana camara,Verbenaceae,8,11,VL,FS,4,6,FALSE,TRUE,FALSE,FALSE,shrub_lantana.dxf
Agave,Agave spp.,Asparagaceae,8,11,VL,FS,4,8,FALSE,TRUE,TRUE,TRUE,shrub_agave.dxf
Aloe,Aloe vera / Aloe arborescens,Asphodelaceae,9,11,VL,FS/PS,3,3,FALSE,TRUE,FALSE,FALSE,shrub_aloe.dxf
Prickly Pear Cactus,Opuntia ficus-indica,Cactaceae,8,11,VL,FS,10,10,FALSE,TRUE,TRUE,FALSE,shrub_prickly_pear.dxf
Senita Cactus,Lophocereus schottii,Cactaceae,9,11,VL,FS,20,6,FALSE,TRUE,FALSE,FALSE,shrub_senita.dxf
#
# --- GROUNDCOVERS AND LOW PLANTS ---
#
Creeping Sage,Salvia sonomensis,Lamiaceae,7,10,VL,FS/PS,1,4,TRUE,TRUE,TRUE,TRUE,gc_creeping_sage.dxf
Yarrow,Achillea millefolium,Asteraceae,3,9,L,FS,2,2,TRUE,TRUE,FALSE,TRUE,gc_yarrow.dxf
Coyote Brush (low form),Baccharis pilularis,Asteraceae,7,10,VL,FS,2,6,TRUE,TRUE,FALSE,TRUE,gc_coyote_brush.dxf
Deer Grass,Muhlenbergia rigens,Poaceae,6,11,L,FS/PS,3,4,TRUE,TRUE,TRUE,TRUE,gc_deer_grass.dxf
Blue Oat Grass,Helictochloa sempervirens,Poaceae,4,9,L,FS,2,2,FALSE,TRUE,FALSE,FALSE,gc_blue_oat_grass.dxf
Purple Fountain Grass,Pennisetum setaceum,Poaceae,8,11,L,FS,4,4,FALSE,TRUE,FALSE,FALSE,gc_fountain_grass.dxf
Blue Fescue,Festuca glauca,Poaceae,4,8,L,FS,1,1,FALSE,TRUE,FALSE,FALSE,gc_blue_fescue.dxf
Dwarf Coyote Brush,Baccharis pilularis 'Twin Peaks',Asteraceae,7,10,VL,FS,1,6,TRUE,TRUE,FALSE,TRUE,gc_baccharis_twin_peaks.dxf
Ice Plant,Delosperma cooperi,Aizoaceae,5,10,VL,FS,1,2,FALSE,TRUE,FALSE,FALSE,gc_ice_plant.dxf
Gazania,Gazania rigens,Asteraceae,9,11,L,FS,1,1,FALSE,TRUE,FALSE,FALSE,gc_gazania.dxf
#
# --- PERENNIALS AND ACCENT PLANTS ---
#
Toyon (groundcover cultivar),Heteromeles arbutifolia 'Davis Gold',Rosaceae,7,11,L,FS/PS,4,5,TRUE,TRUE,TRUE,TRUE,gc_toyon_davis_gold.dxf
Hummingbird Sage,Salvia spathacea,Lamiaceae,7,10,L,PS/SH,2,4,TRUE,TRUE,FALSE,FALSE,gc_hummingbird_sage.dxf
California Poppy,Eschscholzia californica,Papaveraceae,6,10,VL,FS,1,1,TRUE,TRUE,FALSE,FALSE,gc_ca_poppy.dxf
Red Hot Poker,Kniphofia uvaria,Asphodelaceae,5,9,L,FS,3,2,FALSE,FALSE,FALSE,FALSE,gc_red_hot_poker.dxf
